leg,instrument_name,strike,option_type,expiry,entry_price,entry_iv,entry_underlying,entry_gap_hours,data_quality_ok,session_start,session_close,session_type,session_dow,spot_at_open
otm_call,BTC-10NOV22-20000-C,20000.0,C,2022-11-10 08:00:00+00:00,0.0005,1.0889,17928.8,1.59,True,2022-11-09 08:00:00+00:00,2022-11-10 08:00:00+00:00,weekday,wednesday,18136.88
otm_put,BTC-10NOV22-15000-P,15000.0,P,2022-11-10 08:00:00+00:00,0.003,2.3039,17922.99,1.54,True,2022-11-09 08:00:00+00:00,2022-11-10 08:00:00+00:00,weekday,wednesday,18136.88
atm_call,BTC-11NOV22-16750-C,16750.0,C,2022-11-11 08:00:00+00:00,0.02,1.1223,16700.93,1.49,True,2022-11-10 08:00:00+00:00,2022-11-11 08:00:00+00:00,weekday,thursday,16784.04
atm_put,BTC-11NOV22-16750-P,16750.0,P,2022-11-11 08:00:00+00:00,0.0285,1.1124,16612.74,1.67,True,2022-11-10 08:00:00+00:00,2022-11-11 08:00:00+00:00,weekday,thursday,16784.04
otm_call,BTC-11NOV22-19500-C,19500.0,C,2022-11-11 08:00:00+00:00,0.0005,1.509,16627.39,1.53,True,2022-11-10 08:00:00+00:00,2022-11-11 08:00:00+00:00,weekday,thursday,16784.04
otm_put,BTC-11NOV22-14000-P,14000.0,P,2022-11-11 08:00:00+00:00,0.0025,2.2025,16748.32,1.3,True,2022-11-10 08:00:00+00:00,2022-11-11 08:00:00+00:00,weekday,thursday,16784.04
atm_call,BTC-12NOV22-17250-C,17250.0,C,2022-11-12 08:00:00+00:00,0.018,0.7857999999999999,17331.03,1.07,True,2022-11-11 08:00:00+00:00,2022-11-12 08:00:00+00:00,weekday,friday,17352.93
atm_put,BTC-12NOV22-17250-P,17250.0,P,2022-11-12 08:00:00+00:00,0.0165,0.9112,17337.55,1.02,True,2022-11-11 08:00:00+00:00,2022-11-12 08:00:00+00:00,weekday,friday,17352.93
otm_call,BTC-12NOV22-18500-C,18500.0,C,2022-11-12 08:00:00+00:00,0.0005,0.6984,17345.89,1.01,True,2022-11-11 08:00:00+00:00,2022-11-12 08:00:00+00:00,weekday,friday,17352.93
otm_put,BTC-12NOV22-14500-P,14500.0,P,2022-11-12 08:00:00+00:00,0.0005,1.6508,17329.45,1.03,True,2022-11-11 08:00:00+00:00,2022-11-12 08:00:00+00:00,weekday,friday,17352.93
atm_call,BTC-13NOV22-16750-C,16750.0,C,2022-11-13 08:00:00+00:00,0.014,0.7048000000000001,16750.03,0.12,True,2022-11-12 08:00:00+00:00,2022-11-13 08:00:00+00:00,weekend,saturday,16796.04
atm_put,BTC-13NOV22-16750-P,16750.0,P,2022-11-13 08:00:00+00:00,0.015,0.7049,16761.93,0.18,True,2022-11-12 08:00:00+00:00,2022-11-13 08:00:00+00:00,weekend,saturday,16796.04
otm_call,BTC-13NOV22-18500-C,18500.0,C,2022-11-13 08:00:00+00:00,0.0005,1.0165,16696.89,0.54,True,2022-11-12 08:00:00+00:00,2022-11-13 08:00:00+00:00,weekend,saturday,16796.04
otm_put,BTC-13NOV22-14500-P,14500.0,P,2022-11-13 08:00:00+00:00,0.001,1.506,16749.75,0.11,True,2022-11-12 08:00:00+00:00,2022-11-13 08:00:00+00:00,weekend,saturday,16796.04
atm_call,BTC-14NOV22-16500-C,16500.0,C,2022-11-14 08:00:00+00:00,0.022,0.7745000000000001,16704.75,0.47,True,2022-11-13 08:00:00+00:00,2022-11-14 08:00:00+00:00,weekend,sunday,16618.6
atm_put,BTC-14NOV22-16500-P,16500.0,P,2022-11-14 08:00:00+00:00,0.0115,0.7966,16703.25,0.47,True,2022-11-13 08:00:00+00:00,2022-11-14 08:00:00+00:00,weekend,sunday,16618.6
otm_call,BTC-14NOV22-18000-C,18000.0,C,2022-11-14 08:00:00+00:00,0.0005,0.7898000000000001,16686.33,0.39,True,2022-11-13 08:00:00+00:00,2022-11-14 08:00:00+00:00,weekend,sunday,16618.6
otm_put,BTC-14NOV22-14000-P,14000.0,P,2022-11-14 08:00:00+00:00,0.001,1.7203,16478.8,1.11,True,2022-11-13 08:00:00+00:00,2022-11-14 08:00:00+00:00,weekend,sunday,16618.6
atm_call,BTC-15NOV22-16750-C,16750.0,C,2022-11-15 08:00:00+00:00,0.014,0.8382,16663.45,1.13,True,2022-11-14 08:00:00+00:00,2022-11-15 08:00:00+00:00,weekday,monday,16754.59
atm_put,BTC-15NOV22-16750-P,16750.0,P,2022-11-15 08:00:00+00:00,0.019,0.9103,16762.03,0.91,True,2022-11-14 08:00:00+00:00,2022-11-15 08:00:00+00:00,weekday,monday,16754.59
otm_call,BTC-15NOV22-18000-C,18000.0,C,2022-11-15 08:00:00+00:00,0.0005,0.7611,16765.22,0.91,True,2022-11-14 08:00:00+00:00,2022-11-15 08:00:00+00:00,weekday,monday,16754.59
otm_put,BTC-15NOV22-14000-P,14000.0,P,2022-11-15 08:00:00+00:00,0.0005,1.6381,16716.74,1.04,True,2022-11-14 08:00:00+00:00,2022-11-15 08:00:00+00:00,weekday,monday,16754.59
atm_call,BTC-16NOV22-17000-C,17000.0,C,2022-11-16 08:00:00+00:00,0.008,0.6413,16807.93,0.1,True,2022-11-15 08:00:00+00:00,2022-11-16 08:00:00+00:00,weekday,tuesday,16900.89
atm_put,BTC-16NOV22-16750-P,16750.0,P,2022-11-16 08:00:00+00:00,0.012,0.6275,16809.55,0.11,True,2022-11-15 08:00:00+00:00,2022-11-16 08:00:00+00:00,weekday,tuesday,16900.89
